protein_id,quality,amplitude,amplitude_err,tau,tau_err,offset,offset_err,exp_half_life,exp_chisqr,exp_redchi,exp_aic,exp_bic,exp_mse,exp_mae,exp_r2,exp_rmse,slope,slope_err,intercept,intercept_err,lin_half_life,lin_chisqr,lin_redchi,lin_aic,lin_bic,lin_mse,lin_mae,lin_r2,lin_rmse,linear_is_better
Tb927.5.4450,1,0.877546530222876,0.053320880750465705,14.05068847814965,2.13083779844681,0.15652287340429893,0.058584451592275176,20.270858588502197,7.822655243937303,2.6075517479791013,7.591587437743458,6.966865845427623,0.00018481855533927368,0.009767314780547256,0.9973400516137384,0.01359479883408628,-0.028359893242658085,0.0027688913759822613,0.9931953252436965,0.014762185493866178,17.510561777252434,144.3724488095478,36.09311220238695,23.083821647851945,22.667340586308054,0.005775217064890231,0.06198952617375234,0.9168818342732667,0.07599484893655774,False
Tb927.5.4460,1,1.0058357092299013,,26.249236949937718,,8.356235703388393e-10,,37.869643974794485,152.93254473144728,38.23313618286182,27.588607537076722,27.42633798424266,0.000920293024852605,0.02187010602001069,0.9842540075812223,0.030336331763293416,-0.024765675017110356,0.0013012084282150675,0.9448380924178925,0.012069965464387754,19.075557031357178,107.38695722613659,21.47739144522732,23.113700091832214,23.00552038994284,0.0012190860377963891,0.025821516819960682,0.9791417309589474,0.03491541261100016,True
Tb927.5.4470,1,0.866133075163638,0.010581215278645459,9.04899501316167,0.25818176870618886,0.17245862269360335,0.013118141191079584,13.054940230517303,0.027143532959181562,0.027143532959181562,-13.971643275242617,-15.812760191882944,3.910452030091219e-06,0.0015165926574966168,0.9999346549299436,0.0019774862907467193,-0.04377869372064769,0.011167142244993664,0.8811256153583518,0.0889451367932284,10.063406882133393,117.57470650795987,58.78735325397994,17.52311828198734,16.295707004227122,0.07979387198056749,0.16408641451020872,-0.3333845076020958,0.11405059811371981,False
Tb927.5.4480,1,0.8737504031001999,0.07093858314464581,22.269789660359503,2.2334108846402936,0.0649369474751702,0.07108957042747212,32.12851510464097,35.58872836362704,5.9314547272711735,18.373239522493325,18.964913254501983,0.00022103028680975158,0.012009466407478995,0.9955107421115057,0.014867087368067479,-0.03106214806898011,0.0017039208813201213,0.9315215085129591,0.010640122408413671,14.994479880211719,1121.4252107882721,160.20360154118174,47.42617978868008,47.82062894335252,0.008403259005474888,0.048726276899933134,0.82932476212249,0.09166929150743387,False
Tb927.5.4500,1,0.9032235767539685,0.1219423860761443,19.933726137690066,4.055968648186499,0.04314657179760184,0.12200390248539922,28.75828784528417,32.15591827749984,5.3593197129166406,17.46034745718884,18.052021189197497,0.00018117968383559826,0.010365224962227613,0.9969180697374851,0.013460300287720117,-0.028601478631349764,0.002386656344016238,0.9459071059266593,0.0015428524573855623,16.535982599337732,193.33060645685592,27.61865806526513,31.60459419612846,31.9990433508009,0.0033347750876039865,0.03511276569716692,0.9432743007185436,0.05774751152737221,False
Tb927.5.4560,1,0.9633127028761213,0.03895217665128835,20.05937948076009,1.3849732029910007,0.09318538773502016,0.04257864462346559,28.939567300202413,5.952761530292655,2.9763807651463274,6.8720866109502765,5.700400348252577,0.00029971135973131974,0.011010752102345011,0.9951333424772543,0.017312173743678744,-0.025554340381078067,0.004423049707970543,0.9463266207878136,0.03603280763812678,18.515966498758257,681.0354674866653,227.0118224955551,28.570882369187178,27.789758194055377,0.0033648879428882575,0.044205286773590556,0.9453615730977499,0.058007654175016056,False
Tb927.5.4380,1,0.9433850047186838,,24.46715912631205,,1.8433476967061324e-10,,35.29864913617154,40.31053584713287,8.062107169426573,18.937370628137963,19.175695253177466,0.0007098266036056049,0.019950177102174248,0.9870252032377401,0.026642571264906188,-0.031265681697444814,0.0016355046217898354,0.9346070128403923,0.011668951314438595,14.946211982270212,747.012445089585,124.5020741815975,40.29312242725885,40.45200551061852,0.00959156395029137,0.06017470616964556,0.8246774743928934,0.0979365302136612,False
Tb927.5.4390,1,1.0108795231365226,,24.360328255335784,,2.261613119003414e-11,,35.14452476840023,4.022586083034041,2.0112930415170207,4.912435438013405,3.7407491753157065,0.0011257936821214508,0.019355916717343158,0.9851069492592884,0.033552849090970664,-0.02654791985030691,0.0025102432726881486,0.9957177108750661,0.004466924935235313,18.753215251694286,41.44112060626897,13.813706868756322,14.574178634042891,13.793054458911092,0.0028781038139870764,0.0422522630415975,0.9619257535199767,0.05364796188101722,False
Tb927.5.4400,1,0.9308629741813306,0.23451643472978495,24.237200421381313,13.716011659326776,3.3322478110164866e-09,0.12423833597113958,34.96688885295872,1.3217792344742427,0.6608896172371214,-0.6522958926970972,-1.8239821553947966,0.005299352635647263,0.042462975844893204,0.8852814692810718,0.07279665264040142,-0.021139795634848024,0.0005179028338902801,0.8737975263697972,0.002336992593664386,20.667123312426455,1.7220049268844746,0.5740016422948249,-1.3297432264592226,-2.110867401591022,0.0029885117751582814,0.03389755194307516,0.9353057432758483,0.05466728249289772,True
Tb927.5.4410,1,0.8644697074099232,0.021273448564813825,9.981752010169933,0.6960639400741677,0.12989691924102975,0.01749184641782752,14.400624124455604,3.750726961131736,1.2502423203772455,3.181141249610136,2.556419657294301,0.0002041765899175108,0.009534399497149126,0.9975114735099018,0.014289037403461116,-0.0219545015384488,0.0030124297452934143,0.7021876026227778,0.039805715166720525,15.991882152119018,187.23108043963651,46.80777010990913,24.64350465414296,24.227023592599068,0.018564330903867072,0.10473529030117612,0.7737359153471675,0.13625098496475932,False
