protein_id,quality,amplitude,amplitude_err,tau,tau_err,offset,offset_err,exp_half_life,exp_chisqr,exp_redchi,exp_aic,exp_bic,exp_mse,exp_mae,exp_r2,exp_rmse,slope,slope_err,intercept,intercept_err,lin_half_life,lin_chisqr,lin_redchi,lin_aic,lin_bic,lin_mse,lin_mae,lin_r2,lin_rmse,linear_is_better
Tb11.v5.0996,1,1.041415998523072,0.21206679263760952,9.314193358487326,4.405384296763305,9.572740378160915e-10,0.10503363507804041,13.437540568170585,163.82996426922273,40.95749106730568,28.070432563761162,27.9081630109271,0.0015646232368219323,0.03245573210440324,0.9759749316085309,0.03955531869195257,-0.059388952163351716,0.0006474092663857928,0.9990649101665947,0.007594962374781534,8.411201694707682,16.91469397802032,3.382938795604064,10.175907928834139,10.067728226944766,0.0004782870950813119,0.014430152080827938,0.9926558164932883,0.021869775835186605,True
Tb927.10.15270,1,0.9820327372376885,0.020359224960515745,7.109178313363017,0.48203317819278935,0.02737205305898116,0.0260123205370489,10.25637629748419,10.033629200612951,2.508407300153238,8.520225554208714,8.357956001374653,0.00018234502370243803,0.01010749238780945,0.9976870925129439,0.013503518937759817,-0.05673357195198214,0.00484354714410842,0.8740805115515773,0.04448589274115766,7.703379863790146,515.1249041771506,103.02498083543011,34.08949478209511,33.98131508020573,0.004942415838947221,0.06310134029507701,0.9373092263998358,0.07030231745075849,False
Tb927.11.1840,1,1.0430225163121305,,8.0531777257977,,1.3524161790456901e-09,,11.618279568405804,701.8452535437192,175.4613133859298,38.25461955886368,38.09235000602962,0.003332782628347581,0.047935573597401485,0.9586982030541169,0.05773025747688625,-0.06368916694742377,0.0023093484286554715,0.9959117822144008,0.026868612517446183,7.818533590151516,507.6134596705249,101.52269193410498,33.986670719087314,33.87849101719794,0.0011384102395099879,0.02677453316163311,0.9858921526554321,0.033740335497887214,True
Tb11.1780.1,1,1.0387013561448777,,9.269616655045823,,3.9070990887069e-10,,13.373229979176351,21.280293152839242,5.3200732882098105,13.783099039117712,13.62082948628365,0.00024893643158002443,0.013491027582329134,0.9965952378825218,0.015777719467021348,-0.06499236375463768,0.0028727302521261533,1.0159676424212365,0.004305692550156957,7.816053946404894,102.94951341895947,20.589902683791895,22.818299906176282,22.71012020428691,0.0016558988540139885,0.030534712984864494,0.9773518819534058,0.0406927371162716,False
Tb11.1790.1,1,0.9616959598729551,,9.04875020061489,,3.912854928955767e-09,,13.054587040670116,23.03673986887,5.7591849672175,14.338261246094662,14.175991693260602,0.00047007618024460775,0.018420574495490453,0.9930103700217107,0.02168124028381697,-0.06570935972927638,0.0027870871285198755,0.9439473845182749,0.01403565370320385,7.1827467837713925,39.89576941145674,7.979153882291348,16.182520976016285,16.07434127412691,0.0011343690127679892,0.02376975623294193,0.983132904853933,0.03368039508034294,False
Tb927.7.4650,1,0.6963901439876503,2.126830701551995,13.66449154722357,98.3011532872885,1.3881165084050906e-07,2.4152364032543803,19.713694191448603,162.8220952382532,81.4110476191266,23.41610126030943,22.244414997611727,0.035807371298218864,0.15233324383772548,-0.4061449502908512,0.18922835754246473,-0.032016326842451814,0.01454590700270526,0.6705650384286042,0.16644614706654862,10.472235646024723,146.6748604001373,48.8916201333791,20.893901953071012,20.11277777793921,0.03480540181864559,0.15174720917974288,-0.36679790321740113,0.18656205889367106,True
Tb927.7.4690,1,0.8906443696864537,0.01795415845066139,8.765512687822037,0.36988581154302,0.03151739631327666,0.020701988418756215,12.64596168557014,0.2134888072651753,0.053372201816293825,-18.430567152113348,-18.59283670494741,1.2934033187695185e-05,0.0030029124229727206,0.9997646247481646,0.003596391689971378,-0.05256267212333654,0.0048877650924300286,0.8318471918444221,0.025643446811570696,7.9129081365243445,31.400346781995406,6.280069356399081,14.506361514673516,14.398181812784143,0.0027377637371055227,0.04611495671781241,0.9501778123083764,0.05232364414971039,False
Tb11.v5.0154,1,0.9721855955522887,,9.530004758974668,,2.6390529761499693e-09,,13.748890605420975,55.7683369667309,13.942084241682725,20.527072849841637,20.364803297007576,0.001074234626400505,0.026871785160809285,0.9850434580167774,0.03277551870528527,-0.0669192578734914,0.004537749666770845,0.9363361756557453,0.017237252920283948,6.996014341834583,148.40546549969108,29.681093099938217,25.37826607358764,25.270086371698266,0.001498058594124454,0.030714618634147355,0.979142567456212,0.03870476190502215,False
Tb927.7.4720,1,0.9115346455959634,,8.169526727204152,,1.5505647876778994e-09,,11.786135695747275,0.9559426752155185,0.9559426752155185,0.2745932319513109,-1.5665236846890176,0.00020196688159805512,0.012886401273549078,0.9933933939214552,0.014211505254477976,-0.06422420763480607,0.002163984607660495,0.8349303411040172,0.010094272551710987,6.5001217753563205,0.32052998886556233,0.16026499443278117,-6.096295196461178,-7.323706474221396,8.559580428230678e-05,0.008000360884372004,0.9972000470750703,0.009251800056329945,True
Tb927.7.4740,1,0.8299340132223767,0.03497128012188294,3.48249098242154,0.3879185967452308,0.14322528441786542,0.04072272432948862,5.0241724702800905,5.668255108923304,1.8894183696411015,5.658731161314086,5.034009568998251,0.0005122478759616431,0.015479221658592307,0.9925670749774997,0.022632893671858292,-0.09003905168413362,0.013189053068750081,0.86404173549064,0.030628534706307168,4.798149910117826,157.98871113962406,39.497177784906015,23.624584676577733,23.208103615033842,0.005199012491941229,0.061543378712786555,0.9245602141910393,0.0721041780477472,False
Tb927.7.4750,1,0.7835486047011648,,10.396797589709854,,1.674835825582477e-10,,14.999408323800735,61.002171310272374,15.250542827568093,21.154995168144083,20.99272561531002,0.00956366845191063,0.08060892693516505,0.7516498179479179,0.09779401030692335,-0.042495805612065674,0.002171168138004197,0.7548081236069477,0.024545594215710422,8.880972048128886,29.48970330986173,5.8979406619723465,14.066917091126223,13.95873738923685,0.0064513453323840715,0.059877616109311596,0.832470897978657,0.08032026725792234,True
Tb927.7.4770,1,1.0234191895566416,,8.48229555539001,,5.349876097682227e-11,,12.237365733115663,102.47115428925017,25.61778857231254,24.785698318438648,24.623428765604586,0.0013268585392298704,0.029564552080086078,0.979556053397964,0.036426069500151544,-0.05358756977292267,0.001943607154777226,0.8780479208333585,0.0177284494459222,8.192645463808926,127.23463530530616,25.44692706106123,24.300859284457726,24.192679582568353,0.002484687290795404,0.043068838348159375,0.9617164808501274,0.04984663770802805,True
